Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,18.78,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,17.0,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,14.88,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,8,N,5.08,11.01
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,19.87,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,17.39,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
